=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:46.420195
执行时间: 2.88秒
内存使用变化: 4.96MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
    14/11    0.000    0.000    0.007    0.001 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:196(_stop)
        8    0.000    0.000    0.007    0.001 C:\python\python3.12\Lib\logging\__init__.py:1479(info)
      495    0.003    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:118(clone)
      495    0.006    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:609(_ococheck)
        8    0.000    0.000    0.007    0.001 C:\python\python3.12\Lib\logging\__init__.py:1610(_log)
      202    0.002    0.000    0.006    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:390(date)
     4007    0.006    0.000    0.006    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:1856(__init__)
      808    0.002    0.000    0.006    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:1652(__len__)
    12020    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
     3960    0.004    0.000    0.006    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:171(__len__)
        8    0.000    0.000    0.006    0.001 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:2278(_consolidate)
      707    0.004    0.000    0.006    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:361(_get_dt_cmpkey)
     1620    0.003    0.000    0.006    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:298(buflen)
      495    0.004    0.000    0.006    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:592(_bracketize)
      100    0.002    0.000    0.006    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:442(_get_stock_value)
     2410    0.005    0.000    0.006    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:192(getlinealiases)
        1    0.000    0.000    0.006    0.006 C:\python\python3.12\Lib\site-packages\backtrader\lineiterator.py:293(_once)
      683    0.001    0.000    0.005    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:140(<lambda>)
      150    0.003    0.000    0.005    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:434(_get_held_codes)
    19305    0.005    0.000    0.005    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:210(notify_order)
       10    0.001    0.000    0.005    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
1400/1100    0.003    0.000    0.005    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:160(_notify_fund)
      998    0.004    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:74(set)
     1485    0.004    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:124(update)
        1    0.001    0.001    0.004    0.004 C:\python\python3.12\Lib\site-packages\backtrader\analyzers\annualreturn.py:50(stop)
        8    0.000    0.000    0.004    0.001 C:\python\python3.12\Lib\logging\__init__.py:1636(handle)
     8858    0.004    0.000    0.004    0.000 {method 'pop' of 'dict' objects}
     8030    0.004    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:408(flags)
        8    0.000    0.000    0.004    0.001 C:\python\python3.12\Lib\logging\__init__.py:1690(callHandlers)
      710    0.004    0.000    0.004    0.000 {method 'copy' of 'collections.OrderedDict' objects}
     2772    0.004    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\backtrader\broker.py:77(getcommissioninfo)
        8    0.000    0.000    0.004    0.001 C:\python\python3.12\Lib\logging\__init__.py:965(handle)
        1    0.001    0.001    0.004    0.004 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:429(_safe_infer_dates)
      495    0.004    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:189(addbit)
     3850    0.003    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:507(getposition)
     7690    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      800    0.003    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\arrays\datetimes.py:578(tz)
        8    0.000    0.000    0.004    0.000 C:\python\python3.12\Lib\logging\__init__.py:1098(emit)
     4006    0.004    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:1959(_block)
     4000    0.004    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:180(blknos)
        1    0.000    0.000    0.004    0.004 C:\python\python3.12\Lib\site-packages\backtrader\observers\trades.py:108(donew)
     8083    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
     1490    0.003    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:212(markpending)
      495    0.001    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\backtrader\comminfo.py:244(confirmexec)
     4000    0.004    0.000    0.004    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:699(ndim)
     2631    0.004    0.000    0.004    0.000 {built-in method fromordinal}
      500    0.001    0.000    0.003    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:425(addinfo)
1400/1100    0.003    0.000    0.003    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:154(_notify_cashvalue)
     2907    0.003    0.000    0.003    0.000 {built-in method math.fsum}
     4000    0.003    0.000    0.003    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:196(blklocs)
      500    0.003    0.000    0.003    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:622(_ocoize)
      500    0.003    0.000    0.003    0.000 {method 'replace' of 'datetime.datetime' objects}
     3833    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     2439    0.003    0.000    0.003    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:231(__getitem__)
     1585    0.002    0.000    0.003    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:283(get_notification)
      160    0.000    0.000    0.003    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:2283(<lambda>)
        9    0.000    0.000    0.003    0.000 {built-in method builtins.sorted}
     1621    0.002    0.000    0.003    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:152(buflen)
